1,то,то,PRON,_,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,_,_,_,@sgf1960m-words#@sgf1960m#273.365#273.865
2,как,как,SCONJ,_,_,_,_,_,@sgf1960m-words#@sgf1960m#273.865#274.365
3,работаю,работать,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act,_,_,_,@sgf1960m-words#@sgf1960m#274.365#274.865
4,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,_,_,_,@sgf1960m-words#@sgf1960m#274.865#275.365
5,это,это,PRON,_,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,_,_,_,@sgf1960m-words#@sgf1960m#275.365#275.865
6,приближено,приблизить,VERB,_,Aspect=Perf|Gender=Neut|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass,_,_,_,@sgf1960m-words#@sgf1960m#275.87#276.396
7,к,к,ADP,_,_,_,_,_,@sgf1960m-words#@sgf1960m#276.396#276.922
8,тому,то,PRON,_,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,_,_,_,@sgf1960m-words#@sgf1960m#276.922#277.448
9,как,как,SCONJ,_,_,_,_,_,@sgf1960m-words#@sgf1960m#277.448#277.975
10,крестьяне,крестьянин,NOUN,_,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur,_,_,_,@sgf1960m-words#@sgf1960m#277.975#278.461
11,раньше,ранее,ADV,_,Degree=Cmp,_,_,_,@sgf1960m-words#@sgf1960m#278.461#278.947
12,в,в,ADP,_,_,_,_,_,@sgf1960m-words#@sgf1960m#278.947#279.433
13,избе,изба,NOUN,_,Animacy=Inan|Case=Loc|Gender=Fen|Number=Sing,_,_,_,@sgf1960m-words#@sgf1960m#279.433#279.919
14,работали,работать,VERB,_,Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@sgf1960m-words#@sgf1960m#279.919#280.405
15,[нрзб],[нрзб],X,_,_,_,_,_,@sgf1960m-words#@sgf1960m#280.425#281.051
16,в,в,ADP,_,_,_,_,_,@sgf1960m-words#@sgf1960m#281.051#281.677
17,деревнях,деревня,NOUN,_,Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur,_,_,_,@sgf1960m-words#@sgf1960m#281.677#282.305
18,вот,вот,PART,_,_,_,_,_,@sgf1960m-words#@sgf1960m#283.4#283.9
19,и,и,PART,_,_,_,_,_,@sgf1960m-words#@sgf1960m#283.9#284.4
20,работали,работать,VERB,_,Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@sgf1960m-words#@sgf1960m#285.625#286.043
21,там,там,ADV,_,Degree=Pos,_,_,_,@sgf1960m-words#@sgf1960m#286.043#286.461
22,же,же,PART,_,_,_,_,_,@sgf1960m-words#@sgf1960m#286.461#286.879
23,где,где,ADV,_,Degree=Pos,_,_,_,@sgf1960m-words#@sgf1960m#286.879#287.297
