1,Хорошо,хорошо,ADV,_,_,_,_,_,@rpt1990f-words#@rpt1990f#0.0#0.3
2,ну,ну,PART,_,_,_,_,_,@rpt1990f-words#@rpt1990f#0.3#0.6
3,вот,вот,PART,_,_,_,_,_,@rpt1990f-words#@rpt1990f#0.6#0.9
4,а,а,CCONJ,_,_,_,_,_,@rpt1990f-words#@rpt1990f#0.9#1.2
5,всё-таки,все-таки,PART,_,_,_,_,_,@rpt1990f-words#@rpt1990f#1.2#1.5
6,Серёж,Серёжа,PROPN,_,Animacy=Anim|Case=Voc|Gender=Masc|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#1.5#1.8
7,скажи,сказать,VERB,_,Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act,_,_,_,@rpt1990f-words#@rpt1990f#1.8#2.1
8,народную,народный,ADJ,_,Case=Acc|Degree=Pos|Gender=Fem|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#2.44#2.693
9,любовь,любовь,NOUN,_,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#2.693#2.946
10,ты,ты,PRON,_,Case=Nom|Number=Sing|Person=2,_,_,_,@rpt1990f-words#@rpt1990f#2.946#3.199
11,получил,получить,VERB,_,Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@rpt1990f-words#@rpt1990f#3.199#3.452
12,еще,еще,ADV,_,Degree=Pos,_,_,_,@rpt1990f-words#@rpt1990f#3.452#3.705
13,три,три,NUM,_,Animacy=Inan|Case=Acc,_,_,_,@rpt1990f-words#@rpt1990f#3.705#3.958
14,года,год,NOUN,_,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#3.958#4.211
15,назад,назад,ADV,_,Degree=Pos,_,_,_,@rpt1990f-words#@rpt1990f#4.211#4.464
16,и,и,CCONJ,_,_,_,_,_,@rpt1990f-words#@rpt1990f#4.464#4.717
17,спустя,спустя,ADP,_,_,_,_,_,@rpt1990f-words#@rpt1990f#4.717#4.97
18,три,три,NUM,_,Animacy=Inan|Case=Acc,_,_,_,@rpt1990f-words#@rpt1990f#4.97#5.223
19,года,год,NOUN,_,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#5.223#5.476
20,ты,ты,PRON,_,Case=Nom|Number=Sing|Person=2,_,_,_,@rpt1990f-words#@rpt1990f#5.476#5.729
21,решил,решить,VERB,_,Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@rpt1990f-words#@rpt1990f#5.729#5.982
22,поехать,поехать,VERB,_,Aspect=Perf|VerbForm=Inf|Voice=Act,_,_,_,@rpt1990f-words#@rpt1990f#5.982#6.235
23,снова,снова,ADV,_,Degree=Pos,_,_,_,@rpt1990f-words#@rpt1990f#6.235#6.488
24,и,и,CCONJ,_,_,_,_,_,@rpt1990f-words#@rpt1990f#7.04#7.238
25,всё-таки,все-таки,PART,_,_,_,_,_,@rpt1990f-words#@rpt1990f#7.238#7.436
26,зачем,зачем,ADV,_,Degree=Pos,_,_,_,@rpt1990f-words#@rpt1990f#7.436#7.634
27,?,?,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#7.634#7.832
28,/,/,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#7.832#8.03
29,всё-таки,все-таки,PART,_,_,_,_,_,@rpt1990f-words#@rpt1990f#8.03#8.228
30,за,за,ADP,_,_,_,_,_,@rpt1990f-words#@rpt1990f#8.228#8.426
31,первым,первый,ADJ,_,Case=Ins|Degree=Pos|Gender=Neut|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#8.426#8.624
32,местом,место,NOUN,_,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#8.624#8.822
33,как,как,SCONJ,_,_,_,_,_,@rpt1990f-words#@rpt1990f#8.822#9.02
34,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,_,_,_,@rpt1990f-words#@rpt1990f#9.02#9.218
35,понимаю,понимать,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act,_,_,_,@rpt1990f-words#@rpt1990f#9.218#9.416
36,да,да,PART,_,_,_,_,_,@rpt1990f-words#@rpt1990f#9.416#9.614
37,?,?,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#9.614#9.816
38,если,если,SCONJ,_,_,_,_,_,@rpt1990f-words#@rpt1990f#10.208#10.518
39,эта,этот,DET,_,Case=Nom|Gender=Fem|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#10.518#10.828
40,недо...,недосказанность,NOUN,_,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#10.828#11.138
41,недосказанность,недосказанность,NOUN,_,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#11.138#11.448
42,осталась,остаться,VERB,_,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid,_,_,_,@rpt1990f-words#@rpt1990f#11.448#11.758
43,между,между,ADP,_,_,_,_,_,@rpt1990f-words#@rpt1990f#11.758#12.068
44,тобой,ты,PRON,_,Case=Ins|Number=Sing|Person=2,_,_,_,@rpt1990f-words#@rpt1990f#12.068#12.378
45,и,и,CCONJ,_,_,_,_,_,@rpt1990f-words#@rpt1990f#12.378#12.688
46,конкурсом,конкурс,NOUN,_,Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#12.688#13.0
47,кто,кто,PRON,_,Case=Nom,_,_,_,@rpt1990f-words#@rpt1990f#33.864#34.111
48,твой,твой,DET,_,Case=Nom|Gender=Masc|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#34.111#34.358
49,главный,главный,ADJ,_,Case=Nom|Degree=Pos|Gender=Masc|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#34.358#34.605
50,конкурент,конкурент,NOUN,_,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#34.605#34.852
51,/,/,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#34.852#35.099
52,как,как,ADV,_,Degree=Pos,_,_,_,@rpt1990f-words#@rpt1990f#35.099#35.346
53,ты,ты,PRON,_,Case=Nom|Number=Sing|Person=2,_,_,_,@rpt1990f-words#@rpt1990f#35.346#35.593
54,думаешь,думать,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act,_,_,_,@rpt1990f-words#@rpt1990f#35.593#35.84
55,?,?,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#35.84#36.087
56,/,/,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#36.087#36.334
57,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,_,_,_,@rpt1990f-words#@rpt1990f#36.334#36.581
58,сейчас,сейчас,ADV,_,Degree=Pos,_,_,_,@rpt1990f-words#@rpt1990f#36.581#36.828
59,посмотрела,посмотреть,VERB,_,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@rpt1990f-words#@rpt1990f#36.828#37.075
60,тройку,тройка,NOUN,_,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#37.075#37.322
61,лидеров,лидер,NOUN,_,Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur,_,_,_,@rpt1990f-words#@rpt1990f#37.322#37.569
62,/,/,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#37.569#37.816
63,это,это,PRED,_,_,_,_,_,@rpt1990f-words#@rpt1990f#37.816#38.063
64,/,/,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#38.063#38.31
65,Нидерланды,Нидерланды,PROPN,_,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur,_,_,_,@rpt1990f-words#@rpt1990f#38.31#38.557
66,/,/,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#38.557#38.804
67,это,это,PRED,_,_,_,_,_,@rpt1990f-words#@rpt1990f#38.804#39.051
68,Россия,Россия,PROPN,_,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#39.051#39.298
69,и,и,CCONJ,_,_,_,_,_,@rpt1990f-words#@rpt1990f#39.298#39.545
70,Швеция,Швеция,PROPN,_,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#39.545#39.808
71,ну,ну,PART,_,_,_,_,_,@rpt1990f-words#@rpt1990f#61.56#61.804
72,ты,ты,PRON,_,Case=Nom|Number=Sing|Person=2,_,_,_,@rpt1990f-words#@rpt1990f#61.804#62.048
73,/,/,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#62.048#62.292
74,не,не,PART,_,_,_,_,_,@rpt1990f-words#@rpt1990f#62.292#62.536
75,жалеешь,жалеть,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act,_,_,_,@rpt1990f-words#@rpt1990f#62.536#62.78
76,что,что,SCONJ,_,_,_,_,_,@rpt1990f-words#@rpt1990f#62.78#63.024
77,ты,ты,PRON,_,Case=Nom|Number=Sing|Person=2,_,_,_,@rpt1990f-words#@rpt1990f#63.024#63.268
78,выбрал,выбрать,VERB,_,Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@rpt1990f-words#@rpt1990f#63.268#63.512
79,такую,такой,DET,_,Case=Acc|Gender=Fem|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#63.512#63.756
80,песню,песня,NOUN,_,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#63.756#64.0
81,/,/,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#64.0#64.244
82,которая,который,SCONJ,_,_,_,_,_,@rpt1990f-words#@rpt1990f#64.244#64.488
83,/,/,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#64.488#64.732
84,не,не,PART,_,_,_,_,_,@rpt1990f-words#@rpt1990f#64.732#64.976
85,формат,формат,NOUN,_,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#64.976#65.22
86,евровидения,евровидение,NOUN,_,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#65.22#65.464
87,?,?,PUNCT,_,_,_,_,_,@rpt1990f-words#@rpt1990f#65.464#65.72
88,ага,ага,INTJ,_,Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing,_,_,_,@rpt1990f-words#@rpt1990f#78.288#78.68
89,да,да,INTJ,_,_,_,_,_,@rpt1990f-words#@rpt1990f#81.848#82.304
